i	N	C_MAX	costo_promedio	porcentaje_llenado	io_count	duracion_segundos
10	1024	10	9.94175	8.60215	2141	0
10	1024	100	94.3077	47.0588	2267	0
10	1024	500	414.6	66.6667	3109	0
10	1024	750	605.5	80	3456	0
10	1024	1024	910.667	80	3766	0
10	1024	2056	1761	88.8889	4555	0
10	1024	5000	4608	100	5640	0
10	1024	10000	4608	100	5640	0
11	2048	10	9.99024	8.93855	4275	0
11	2048	100	99.44	50	4566	0
11	2048	500	494.333	76.1905	6518	0
11	2048	750	737.714	80	7232	0
11	2048	1024	959.833	84.2105	7826	0
11	2048	2056	1939	94.1176	9821	0
11	2048	5000	3639.67	94.1176	12984	0
11	2048	10000	6964	94.1176	15993	0
12	4096	10	9.99024	8.91365	8551	0
12	4096	100	99.94	49.2308	9158	0
12	4096	500	493.778	76.1905	13026	0
12	4096	750	747.286	80	14598	0
12	4096	1024	996.333	82.0513	16091	0
12	4096	2056	2026.88	91.4286	20346	0
12	4096	5000	4799	91.4286	28126	0
12	4096	10000	7952.25	94.1176	35939	0
13	8192	10	9.99024	8.93855	17100	0
13	8192	100	99.0297	49.6124	18323	0
13	8192	500	487.892	76.1905	26328	0
13	8192	750	738.241	80	29681	0
13	8192	1024	1014.5	83.1169	32617	0
13	8192	2056	1958.94	88.8889	41566	0
13	8192	5000	4562.18	92.7536	58445	0
13	8192	10000	9828.71	96.9697	77059	0
14	16384	10	9.99634	8.94479	34199	0
14	16384	100	99.9552	50.996	36726	0
14	16384	500	496.836	76.1905	52821	0
14	16384	750	743.724	80.5031	59679	0
14	16384	1024	1023.98	82.0513	65691	0
14	16384	2056	2045.39	88.2759	84027	0
14	16384	5000	4835.57	92.0863	118070	0
14	16384	10000	9381.67	93.4307	157246	0
15	32768	10	9.99939	8.87656	68420	0
15	32768	100	99.8728	50.3937	73325	0
15	32768	500	499.055	74.4186	105974	0
15	32768	750	744.612	81.2698	119458	0
15	32768	1024	1019.76	82.0513	131997	0
15	32768	2056	2037.54	86.7797	169578	0
15	32768	5000	4900.9	92.0863	238884	0
15	32768	10000	9910.21	94.1176	320436	0
16	65536	10	9.99939	8.88426	136835	0
16	65536	100	99.9476	50.2453	146613	0
16	65536	500	498.536	75.5162	212285	0
16	65536	750	748.16	81.141	238992	0
16	65536	1024	1019.04	82.0513	264872	0
16	65536	2056	2043.01	87.8216	339882	1
16	65536	5000	4998.88	92.922	480994	1
16	65536	10000	9985.41	94.6396	645231	1
17	131072	10	9.99939	8.87964	273676	1
17	131072	100	99.9663	50.1224	293261	1
17	131072	500	499.491	75.405	424133	1
17	131072	750	749.886	80.8208	479536	1
17	131072	1024	1021.72	82.7141	529761	1
17	131072	2056	2050.83	87.6712	681863	2
17	131072	5000	4979.28	92.3354	963720	2
17	131072	10000	9917.68	94.5522	1292524	3
18	262144	10	9.99977	8.8731	547369	3
18	262144	100	99.9922	50.0611	586810	3
18	262144	500	499.726	75.5441	849534	4
18	262144	750	749.713	80.6299	958918	4
18	262144	1024	1023.81	82.6807	1059096	4
18	262144	2056	2054.37	87.8593	1365616	4
18	262144	5000	4986.12	91.9623	1929736	5
18	262144	10000	9990.2	94.291	2592033	7
19	524288	10	9.99996	8.86753	1094767	6
19	524288	100	99.9931	50.1899	1174005	6
19	524288	500	499.806	75.4328	1697764	7
19	524288	750	749.963	80.7412	1918293	7
19	524288	1024	1023.78	82.4643	2120207	6
19	524288	2056	2055.2	88.1808	2732108	7
19	524288	5000	4992.93	92.1692	3864012	8
19	524288	10000	9983.43	94.7271	5180890	10
20	1048576	10	9.99996	8.87031	2189505	9
20	1048576	100	99.9928	50.3009	2347669	10
20	1048576	500	499.911	75.0733	3398573	12
20	1048576	750	749.881	80.6776	3836291	12
20	1048576	1024	1023.91	82.5973	4241836	13
20	1048576	2056	2055.92	88.0482	5461671	14
20	1048576	5000	4996.59	92.4501	7727878	19
20	1048576	10000	9996.13	94.5303	10373635	22
21	2097152	10	9.99996	8.86825	4379053	20
21	2097152	100	99.9965	50.2916	4695039	21
21	2097152	500	499.968	75.3045	6796609	23
21	2097152	750	749.971	80.8049	7677712	25
21	2097152	1024	1023.89	82.5848	8484582	27
21	2097152	2056	2055.63	88.0813	10924111	31
21	2097152	5000	4999.75	92.4188	15454222	38
21	2097152	10000	9999.36	94.5194	20763298	46
22	4194304	10	9.99999	8.8682	8758108	41
22	4194304	100	99.9984	50.1769	9390428	51
22	4194304	500	499.976	75.2647	13593887	66
22	4194304	750	749.963	80.777	15354576	58
22	4194304	1024	1023.93	82.6515	16964479	57
22	4194304	2056	2055.94	88.0363	21867408	67
22	4194304	5000	4999.83	92.4188	30913832	77
22	4194304	10000	9997.4	94.6232	41539237	95
23	8388608	10	10	8.86353	17516605	127
23	8388608	100	99.9996	50.2088	18782697	128
23	8388608	500	499.996	75.2466	27186570	148
23	8388608	750	749.99	80.7412	30712233	157
23	8388608	1024	1023.97	82.6619	33935022	164
23	8388608	2056	2055.9	88.0766	43727832	185
23	8388608	5000	4999.91	92.4579	61818573	227
23	8388608	10000	9998.98	94.5494	83070348	274
24	16777216	10	10	8.86795	35032474	155
24	16777216	100	100	50.197	37565431	164
24	16777216	500	499.996	75.2474	54372079	189
24	16777216	750	749.997	80.7536	61413599	199
24	16777216	1024	1023.99	82.6129	67870134	204
24	16777216	2056	2055.94	88.0623	87436610	230
24	16777216	5000	4999.95	92.4142	123657985	282
24	16777216	10000	9999.9	94.5392	166174364	338
